Min,Max,Default,Use,Name,Units,Constraints
1.00E-02,1.00E-01,5.50E-02,0,z0mr,m,none
1.00E-01,1.00E+00,6.70E-01,0,displar,m,none
1.00E-02,1.00E-01,4.00E-02,1,dleaf,m,none
0.00E+00,1.00E+00,1.00E+00,0,c3psn,none,none
1.00E+00,2.00E+02,5.10E+01,0,vcmx25,umolC/m2/s,none
4.50E+00,1.35E+01,9.00E+00,1,mp,none,none
4.00E-02,8.00E-02,6.00E-02,0,qe25,umol,none
0.00E+00,1.00E+00,0.00E+00,0,exudate_frac,none,none
1.00E-01,6.00E-01,3.50E-01,1,bp,none,none
3.60E+04,1.08E+05,7.20E-04,1,vcmaxha,none,none
1.98E+05,2.02E+05,2.00E+05,1,vcmaxhd,none,none
2.00E-02,1.50E-01,5.00E-02,0,taulvis,none,none
2.00E-02,4.00E-01,1.00E-01,0,taulnir,none,none
1.00E-04,2.00E-01,1.00E-03,0,tausvis,none,none
1.00E-04,3.50E-01,1.00E-03,0,tausnir,none,none
1.00E-02,1.00E+00,1.00E-02,1,xl,none,none
1.00E+00,2.00E+01,7.00E+00,1,roota_par,m-1,none
5.00E-01,1.00E+01,2.00E+00,1,rootb_par,m-1,none
4.00E-03,5.00E-02,1.00E-02,1,slatop,m2/gC,none
5.00E-04,2.50E-03,1.25E-03,1,dsladlai,m2/gC/LAI,none
1.80E+01,5.00E+01,3.50E+01,1,leafcn,gC/gN,none
4.00E-02,2.00E-01,5.00E-02,1,flnr,none,none
-1.20E+05,-2.00E+04,-6.60E+04,1,smpso,mm,none
-3.00E+05,-1.20E+05,-2.55E+05,1,smpsc,mm,none
0.00E+00,1.00E+00,7.20E-01,0,fnitr,none,none
0.00E+00,1.00E+00,1.00E+00,0,woody,none,none
5.50E+01,1.43E+02,7.00E+01,1,lflitcn,gC/gN,none
2.50E+01,6.00E+01,4.20E+01,1,frootcn,gC/gN,none
2.50E+01,7.50E+01,5.00E+01,1,livewdcn,gC/gN,none
2.00E+02,1.40E+03,5.00E+02,1,deadwdcn,gC/gN,none
3.00E-01,2.50E+00,1.00E+00,1,froot_leaf,gC/gC,none
6.00E-01,4.00E+00,1.50E+00,0,stem_leaf,gC/gC,none
1.00E-01,4.00E-01,3.00E-01,0,croot_stem,gC/gC,none
6.00E-02,2.80E-01,1.00E-01,1,flivewd,none,none
0.00E+00,1.00E+00,1.00E+00,1,fcur,none,none
1.40E-01,5.40E-01,2.50E-01,1,lf_flab,none,lf_flab+lf_fcel_lf_flig = 1.0
3.70E-01,4.90E-01,5.00E-01,1,lf_fcel,none,lf_flab+lf_fcel_lf_flig = 1.0
1.00E-01,3.80E-01,2.50E-01,1,lf_flig,none,lf_flab+lf_fcel_lf_flig = 1.0
1.80E-01,3.50E-01,2.50E-01,1,fr_flab,none,fr_flab+fr_fcel+fr_flig = 1.0
3.80E-01,6.00E-01,5.00E-01,1,fr_fcel,none,fr_flab+fr_fcel+fr_flig = 1.0
1.60E-01,3.60E-01,2.50E-01,1,fr_flig,none,fr_flab+fr_fcel+fr_flig = 1.0
0.00E+00,1.00E+00,7.50E-01,1,cwd_fcel,none,none
0.00E+00,1.00E+00,2.50E-01,0,dw_flig,none,none
1.50E+00,6.00E+00,1.50E+00,1,leaf_long,yr,none
0.00E+00,1.00E+00,0.00E+00,0,evergreen,none,none
0.00E+00,1.00E+00,0.00E+00,0,stress_decid,none,none
0.00E+00,1.00E+00,1.00E+00,0,season_decid,none,none
0.00E+00,5.00E-01,1.20E-01,0,resist,none,none
1.20E-01,4.00E-01,3.00E-01,1,grperc,none,none
0.00E+00,1.00E+00,1.00E+00,0,grpnow,none,none
0.00E+00,6.00E-01,2.50E-01,1,bdnr,(1/s),none
1.00E+00,9.00E+01,3.00E+00,1,dayscrecover,days,none
5.00E-01,5.00E+01,1.00E+01,0,rc_npool,none,none
4.00E-07,1.00E-05,2.53E-06,1,br_mr,gC/gN/s,none
1.00E+00,3.50E+00,1.50E+00,1,q10_mr,none,none
8.00E+00,2.50E+01,1.20E+01,1,cn_s1,gC/gN,none
8.00E+00,2.50E+01,1.20E+01,1,cn_s2,gC/gN,none
6.00E+00,2.50E+01,1.00E+01,1,cn_s3,gC/gN,none
6.00E+00,2.50E+01,1.00E+01,1,cn_s4,gC/gN,none
3.50E-01,4.50E-01,3.90E-01,1,rf_l1s1,none,none
3.85E-01,7.15E-01,5.50E-01,1,rf_l2s2,none,none
0.00E+00,9.00E-01,2.90E-01,1,rf_l3s3,none,none
2.60E-01,3.00E-01,2.80E-01,1,rf_s1s2,none,none
3.20E-02,6.00E-01,4.60E-01,1,rf_s2s3,none,none
0.00E+00,1.00E+00,5.50E-01,1,rf_s3s4,none,none
9.00E-01,1.50E+00,1.20E+00,1,k_l1,1/day,none
5.00E-02,1.00E-01,7.26E-02,1,k_l2,1/day,none
5.00E-03,2.80E-02,1.41E-02,1,k_l3,1/day,none
3.80E-02,1.10E-01,7.26E-02,1,k_s1,1/day,none
5.00E-03,2.20E-02,1.41E-02,1,k_s2,1/day,none
4.00E-04,5.00E-03,1.40E-03,1,k_s3,1/day,none
0.00E+00,4.00E-04,1.00E-04,1,k_s4,1/day,none
2.00E-04,5.00E-03,1.00E-03,1,k_frag,1/day,none
6.60E-01,8.10E-01,7.69E-01,0,cwd_fcel,none,none
1.00E-03,3.00E-02,1.00E-02,1,dnp,none,none
-1.50E+01,-5.00E+00,-1.00E+01,1,minpsi_hr,MPa,none
1.00E+00,3.50E+00,1.50E+00,1,q10_hr,none,none
2.00E-03,5.00E-02,2.00E-02,1,r_mort,1/year,none
2.00E-02,4.00E-01,1.00E-01,1,sf_minn,none,none
3.50E+04,4.50E+04,3.93E+04,1,crit_dayl,seconds,none
5.00E+00,3.50E+01,3.00E+01,1,ndays_on,days,none
5.00E+00,3.50E+01,1.50E+01,1,ndays_off,days,none
1.00E-01,1.00E+00,5.00E-01,1,fstor2tran,none,none
5.00E+00,3.00E+01,1.50E+01,1,crit_onset_fdd,days,none
5.00E+00,3.00E+01,1.50E+01,1,crit_onset_swi,days,none
-5.00E+00,-7.50E-01,-2.00E+00,1,soilpsi_on,MPa,none
5.00E+00,3.00E+01,1.50E+01,1,crit_offset_fdd,days,none
5.00E+00,3.00E+01,1.50E+01,1,crit_offset_swi,days,none
-5.00E+00,-7.50E-01,-2.00E+00,1,soilpsi_off,MPa,none
5.00E-01,1.00E+00,7.00E-01,1,lwtop_ann,1/year,none
3.00E+00,7.00E+00,4.80E+00,0,gddfunc_p1,none,none
5.00E-02,3.00E-01,1.30E-01,0,gddfunc_p2,none,none
0.00E+00,1.00E+00,0.00E+00,0,exud_frac,none,none
4.00E-08,9.00E-08,5.00E-08,0,qflx_h2osfc_surfrate,none,none
0.00E+00,1.00E+00,5.00E-01,0,FMAX,none,none
0.00E+00,1.00E+01,5.00E+00,0,FDRAI,none,none
0.00E+00,1.00E+00,5.00E-01,0,SY,none,none
