# file: e1-mm2.1.nc
# title: EISMINT-1
# uncorrected vert velos
# time: 200.000000
# dist thk
0.000000 0.000000 NaN
10.000000 0.000000 NaN
20.000000 0.000000 NaN
30.000000 0.000000 NaN
40.000000 0.000000 NaN
50.000000 0.000000 NaN
60.000000 0.000000 NaN
70.000000 0.000000 NaN
80.000000 0.000000 NaN
90.000000 0.000000 NaN
100.000000 0.000000 NaN
110.000000 0.000000 NaN
120.000000 0.000000 NaN
130.000000 0.000000 NaN
140.000000 0.000000 NaN
150.000000 0.000000 NaN
160.000000 160.427000 0.123311
170.000000 320.854000 0.246622
180.000000 481.281000 0.369934
190.000000 641.709000 0.493245
200.000000 802.136000 0.616556
210.000000 914.011000 0.439481
220.000000 1025.890000 0.262405
230.000000 1137.760000 0.085330
240.000000 1249.640000 -0.091745
250.000000 1361.510000 -0.268820
260.000000 1433.500000 -0.314795
270.000000 1505.480000 -0.360769
280.000000 1577.460000 -0.406743
290.000000 1649.450000 -0.452717
300.000000 1721.430000 -0.498692
310.000000 1776.260000 -0.563417
320.000000 1831.090000 -0.628143
330.000000 1885.920000 -0.692869
340.000000 1940.750000 -0.757594
350.000000 1995.580000 -0.822320
360.000000 2038.380000 -0.798827
370.000000 2081.180000 -0.775334
380.000000 2123.990000 -0.751841
390.000000 2166.790000 -0.728348
400.000000 2209.590000 -0.704856
410.000000 2244.810000 -0.690820
420.000000 2280.030000 -0.676785
430.000000 2315.250000 -0.662750
440.000000 2350.470000 -0.648715
450.000000 2385.690000 -0.634680
460.000000 2415.430000 -0.625959
470.000000 2445.170000 -0.617237
480.000000 2474.910000 -0.608516
490.000000 2504.660000 -0.599795
500.000000 2534.400000 -0.591073
510.000000 2559.820000 -0.585386
520.000000 2585.240000 -0.579698
530.000000 2610.670000 -0.574011
540.000000 2636.090000 -0.568323
550.000000 2661.510000 -0.562636
560.000000 2683.270000 -0.559123
570.000000 2705.020000 -0.555609
580.000000 2726.770000 -0.552096
590.000000 2748.520000 -0.548583
600.000000 2770.280000 -0.545069
610.000000 2788.660000 -0.542985
620.000000 2807.040000 -0.540900
630.000000 2825.420000 -0.538816
640.000000 2843.800000 -0.536731
650.000000 2862.180000 -0.534647
660.000000 2877.040000 -0.527291
670.000000 2891.890000 -0.519935
680.000000 2906.750000 -0.512579
690.000000 2921.600000 -0.505223
700.000000 2936.460000 -0.497866
710.000000 2945.280000 -0.482871
720.000000 2954.110000 -0.467875
730.000000 2962.940000 -0.452879
740.000000 2971.760000 -0.437883
750.000000 2980.590000 -0.422887
760.000000 2971.760000 -0.437883
770.000000 2962.940000 -0.452879
780.000000 2954.110000 -0.467875
790.000000 2945.280000 -0.482871
800.000000 2936.460000 -0.497866
810.000000 2921.600000 -0.505223
820.000000 2906.750000 -0.512579
830.000000 2891.890000 -0.519935
840.000000 2877.040000 -0.527291
850.000000 2862.180000 -0.534647
860.000000 2843.800000 -0.536731
870.000000 2825.420000 -0.538816
880.000000 2807.040000 -0.540900
890.000000 2788.660000 -0.542985
900.000000 2770.280000 -0.545069
910.000000 2748.520000 -0.548583
920.000000 2726.770000 -0.552096
930.000000 2705.020000 -0.555609
940.000000 2683.270000 -0.559123
950.000000 2661.510000 -0.562636
960.000000 2636.090000 -0.568323
970.000000 2610.670000 -0.574011
980.000000 2585.240000 -0.579698
990.000000 2559.820000 -0.585386
1000.000000 2534.400000 -0.591073
1010.000000 2504.660000 -0.599795
1020.000000 2474.910000 -0.608516
1030.000000 2445.170000 -0.617237
1040.000000 2415.430000 -0.625959
1050.000000 2385.690000 -0.634680
1060.000000 2350.470000 -0.648715
1070.000000 2315.250000 -0.662750
1080.000000 2280.030000 -0.676785
1090.000000 2244.810000 -0.690820
1100.000000 2209.590000 -0.704856
1110.000000 2166.790000 -0.728348
1120.000000 2123.990000 -0.751841
1130.000000 2081.180000 -0.775334
1140.000000 2038.380000 -0.798827
1150.000000 1995.580000 -0.822320
1160.000000 1940.750000 -0.757594
1170.000000 1885.920000 -0.692869
1180.000000 1831.090000 -0.628143
1190.000000 1776.260000 -0.563417
1200.000000 1721.430000 -0.498692
1210.000000 1649.450000 -0.452717
1220.000000 1577.460000 -0.406743
1230.000000 1505.480000 -0.360769
1240.000000 1433.500000 -0.314795
1250.000000 1361.510000 -0.268820
1260.000000 1249.640000 -0.091745
1270.000000 1137.760000 0.085330
1280.000000 1025.890000 0.262405
1290.000000 914.011000 0.439481
1300.000000 802.136000 0.616556
1310.000000 641.709000 0.493245
1320.000000 481.281000 0.369934
1330.000000 320.854000 0.246622
1340.000000 160.427000 0.123311
1350.000000 0.000000 NaN
1360.000000 0.000000 NaN
1370.000000 0.000000 NaN
1380.000000 0.000000 NaN
1390.000000 0.000000 NaN
1400.000000 0.000000 NaN
1410.000000 0.000000 NaN
1420.000000 0.000000 NaN
1430.000000 0.000000 NaN
1440.000000 0.000000 NaN
1450.000000 0.000000 NaN
1460.000000 0.000000 NaN
1470.000000 0.000000 NaN
1480.000000 0.000000 NaN
1490.000000 0.000000 NaN
1500.000000 0.000000 NaN
