#Title=ice temperature from EISMINT-1 moving margin
#
#Legend=(time, y1, x1) = (200000, 750000, 750000)
#level (1)	temp (degree_Celsius)
0.000000	-32.955921
0.231405	-32.943409
0.407407	-32.969486
0.544379	-32.838913
0.653061	-31.856470
0.740741	-29.751276
0.812500	-26.931360
0.871972	-23.946579
0.921811	-21.145380
0.963989	-18.664085
1.000000	-16.517397

#Legend=(time, y1, x1) = (200000, 750000, 1.15e+06)
#level (1)	temp (degree_Celsius)
0.000000	-23.105818
0.231405	-25.694656
0.407407	-27.450336
0.544379	-27.349365
0.653061	-24.369371
0.740741	-19.217516
0.812500	-13.544239
0.871972	-8.635489
0.921811	-5.045574
0.963989	-2.806550
1.000000	-1.749510

