#Title=ice temperature from EISMINT-1 moving margin
#
#Legend=(time, y1, x1) = (200000, 750000, 750000)
#level (1)	temp (degree_Celsius)
0.000000	-32.955921
0.231405	-32.939617
0.407407	-32.980007
0.544379	-32.550327
0.653061	-30.889332
0.740741	-28.084978
0.812500	-24.794586
0.871972	-21.572952
0.921811	-18.680906
0.963989	-16.177204
1.000000	-14.030516

#Legend=(time, y1, x1) = (200000, 750000, 1.15e+06)
#level (1)	temp (degree_Celsius)
0.000000	-23.105818
0.231405	-25.654066
0.407407	-27.405756
0.544379	-27.375681
0.653061	-24.507254
0.740741	-19.427599
0.812500	-13.757659
0.871972	-8.804306
0.921811	-5.153389
0.963989	-2.856738
1.000000	-1.749510

