#Title=vertical ice velocity from EISMINT-1 moving margin
#
#Legend=(time, y1, x1) = (200000, 750000, 750000)
#level (1)	wvel (meter/year)
0.000000	-0.422887
0.231405	-0.300601
0.407407	-0.208735
0.544379	-0.140229
0.653061	-0.090278
0.740741	-0.054927
0.812500	-0.030828
0.871972	-0.015233
0.921811	-0.005956
0.963989	-0.001307
1.000000	0.000000

#Legend=(time, y1, x1) = (200000, 750000, 1.15e+06)
#level (1)	wvel (meter/year)
0.000000	-0.822320
0.231405	-0.603083
0.407407	-0.433800
0.544379	-0.301533
0.653061	-0.200442
0.740741	-0.125934
0.812500	-0.073423
0.871972	-0.038508
0.921811	-0.017272
0.963989	-0.006429
1.000000	-0.003322

