Higher tech change in ag sectors for later periods,,,,,,,,,,,,

Annual percent technical improvement (for later period),,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
602,,,,,,,,,,,,
,,"KJIMP(J,L,M)",,,,,,,,,,
period,region,UnMgd,MgdForest,Pasture,AnimPrds,Biomass,FoodGr,CoarseGr,OilCrops,MiscCrops,Empty,Empty
6,1,0,0.005,0,0,0.01,0.01,0.01,0.01,0.01,0,0
6,2,0,0.005,0,0,0.01,0.01,0.01,0.01,0.01,0,0
6,3,0,0.005,0,0,0.01,0.01,0.01,0.01,0.01,0,0
6,4,0,0.005,0,0,0.01,0.01,0.01,0.01,0.01,0,0
6,5,0,0.005,0,0,0.01,0.01,0.01,0.01,0.01,0,0
6,6,0,0.005,0,0,0.01,0.01,0.01,0.01,0.01,0,0
6,7,0,0.005,0,0,0.01,0.01,0.01,0.01,0.01,0,0
6,8,0,0.005,0,0,0.01,0.01,0.01,0.01,0.01,0,0
6,9,0,0.005,0,0,0.01,0.01,0.01,0.01,0.01,0,0
6,10,0,0.005,0,0,0.01,0.01,0.01,0.01,0.01,0,0
6,11,0,0.005,0,0,0.01,0.01,0.01,0.01,0.01,0,0
6,12,0,0.005,0,0,0.01,0.01,0.01,0.01,0.01,0,0
6,13,0,0.005,0,0,0.01,0.01,0.01,0.01,0.01,0,0
6,14,0,0.005,0,0,0.01,0.01,0.01,0.01,0.01,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0




EoF,,,,,,,,,,,,
