Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.2,mm/day,3.015,2.675,0.34,2.077,1.922,0.892,0.918
PRECT global GPCP_v2.3,mm/day,3.015,2.69,0.324,2.077,1.934,0.89,0.917
TREFHT land_60S90N CRU,DegC,13.219,12.929,0.29,11.763,13.088,2.175,0.991
SST global HadISST,degC,20.154,999.999,999.999,8.352,999.999,999.999,999.999
SST global HadISST_CL,degC,20.154,18.698,1.456,8.352,9.536,0.189,1.0
SST global HadISST_PI,degC,20.154,18.978,1.176,8.352,8.933,0.539,0.999
SST global HadISST_PD,degC,20.154,18.807,1.347,8.352,9.543,0.206,1.0
SWCF global ceres_ebaf_toa_v4.0,W/m2,-47.85,-45.806,-2.045,21.075,20.576,9.165,0.908
LWCF global ceres_ebaf_toa_v4.0,W/m2,23.737,27.991,-4.254,10.508,12.282,6.815,0.902
SOLIN global ceres_ebaf_toa_v4.1,W/m2,340.292,340.267,0.025,72.714,72.726,0.446,1.0
ALBEDO global ceres_ebaf_toa_v4.1,dimensionless,0.316,0.314,0.003,0.117,0.12,0.029,0.97
ALBEDOC global ceres_ebaf_toa_v4.1,dimensionless,0.169,0.176,-0.007,0.11,0.121,0.025,0.982
RESTOM global ceres_ebaf_toa_v4.1,W/m2,0.247,0.927,-0.679,54.102,56.014,7.71,0.991
FLUT global ceres_ebaf_toa_v4.1,W/m2,240.203,240.313,-0.11,30.536,29.746,5.165,0.986
FLUTC global ceres_ebaf_toa_v4.1,W/m2,263.94,266.126,-2.185,29.296,29.773,3.559,0.996
FSNTOA global ceres_ebaf_toa_v4.1,W/m2,240.344,241.24,-0.896,79.806,80.108,8.994,0.994
FSNTOAC global ceres_ebaf_toa_v4.1,W/m2,288.194,286.549,1.645,80.834,82.664,6.415,0.997
SWCF global ceres_ebaf_toa_v4.1,W/m2,-47.85,-45.309,-2.541,21.075,20.241,9.214,0.909
LWCF global ceres_ebaf_toa_v4.1,W/m2,23.737,25.813,-2.075,10.508,11.0,4.795,0.92
NETCF global ceres_ebaf_toa_v4.1,W/m2,-24.113,-19.497,-4.616,15.204,15.098,8.855,0.876
ALBEDO_SRF global ceres_ebaf_surface_v4.1,dimensionless,0.138,0.143,-0.005,0.157,0.173,0.039,0.977
SWCFSRF global ceres_ebaf_surface_v4.1,W/m2,-51.268,-48.201,-3.067,22.989,21.71,10.311,0.905
LWCFSRF global ceres_ebaf_surface_v4.1,W/m2,26.68,27.457,-0.777,18.982,14.402,7.756,0.929
NETCF_SRF global ceres_ebaf_surface_v4.1,W/m2,-24.588,-20.743,-3.844,20.604,20.786,9.229,0.918
FLDS global ceres_ebaf_surface_v4.1,W/m2,345.376,345.466,-0.09,61.113,66.27,11.164,0.988
FLDSC global ceres_ebaf_surface_v4.1,W/m2,317.516,317.799,-0.284,74.519,76.288,6.839,0.996
FLNS global ceres_ebaf_surface_v4.1,W/m2,54.166,53.458,0.708,19.806,17.711,9.013,0.891
FLNSC global ceres_ebaf_surface_v4.1,W/m2,80.846,80.915,-0.069,14.39,17.192,6.087,0.941
FSDS global ceres_ebaf_surface_v4.1,W/m2,184.985,186.873,-1.888,60.762,55.401,12.305,0.982
FSDSC global ceres_ebaf_surface_v4.1,W/m2,242.406,240.978,1.428,50.103,48.271,5.073,0.996
FSNS global ceres_ebaf_surface_v4.1,W/m2,162.73,163.717,-0.987,63.332,61.844,10.177,0.987
FSNSC global ceres_ebaf_surface_v4.1,W/m2,213.998,211.918,2.08,62.973,63.841,7.338,0.994
LHFLX global OAFlux,W/m2,87.238,93.697,-6.459,53.755,37.492,22.541,0.958
SHFLX global OAFlux,W/m2,20.169,10.428,9.741,17.408,8.383,8.417,0.714
LHFLX global ERA5,W/m2,87.238,83.108,4.131,53.755,49.787,11.794,0.98
SHFLX global ERA5,W/m2,20.169,16.662,3.506,17.408,16.921,7.296,0.931
PSL global ERA5,mbar,1011.39,1011.389,0.002,9.931,8.061,2.567,0.981
FSNS global ERA5,W/m2,162.73,163.655,-0.925,63.332,60.047,11.653,0.984
FLNS global ERA5,W/m2,54.166,57.718,-3.552,19.806,17.896,8.534,0.92
NET_FLUX_SRF global ERA5,W/m2,0.239,6.167,-5.928,33.161,29.984,18.492,0.851
PRECT global ERA5,mm/day,3.015,2.915,0.1,2.103,2.177,0.792,0.933
TMQ global ERA5,kg/m2,25.451,24.249,1.202,14.133,14.401,2.021,0.994
U-850mb global ERA5,m/s,1.194,1.081,0.113,6.133,5.412,1.161,0.987
U-200mb global ERA5,m/s,16.173,15.655,0.518,11.766,12.242,2.261,0.984
Z3-500mb global ERA5,hectometer,56.585,56.608,-0.023,2.686,2.566,0.184,0.999
OMEGA-200mb global ERA5,mbar/day,0.192,-0.0,0.193,11.327,9.186,6.34,0.829
OMEGA-500mb global ERA5,mbar/day,0.013,-0.002,0.015,19.463,23.302,15.633,0.747
OMEGA-850mb global ERA5,mbar/day,-0.003,4.103,-4.106,24.634,61.793,47.082,0.437
T-850mb global ERA5,K,281.115,281.14,-0.024,9.873,11.038,0.913,0.998
T-200mb global ERA5,K,217.743,218.551,-0.808,2.646,2.017,1.685,0.832
TAUXY ocean ERA5,N/m^2,0.072,0.067,0.005,0.055,0.05,0.022,0.922
LHFLX global MERRA2,W/m2,87.238,84.374,2.865,53.755,52.092,12.745,0.973
SHFLX global MERRA2,W/m2,20.169,18.961,1.207,17.408,20.663,9.357,0.895
PSL global MERRA2,mbar,1011.39,1010.9,0.49,9.931,8.313,2.551,0.978
FSNS global MERRA2,W/m2,162.73,164.068,-1.338,63.332,61.911,13.589,0.977
FLNS global MERRA2,W/m2,54.166,62.112,-7.947,19.806,17.836,10.7,0.933
NET_FLUX_SRF global MERRA2,W/m2,0.239,-1.379,1.618,33.161,27.253,20.815,0.781
PRECT global MERRA2,mm/day,3.015,2.953,0.062,2.103,2.56,1.269,0.87
TMQ global MERRA2,kg/m2,25.451,24.944,0.507,14.133,14.816,1.749,0.994
U-850mb global MERRA2,m/s,1.194,0.96,0.234,6.133,5.707,1.111,0.986
U-200mb global MERRA2,m/s,16.173,16.088,0.086,11.766,11.968,2.057,0.985
Z3-500mb global MERRA2,hectometer,56.585,56.597,-0.012,2.686,2.569,0.181,0.999
OMEGA-200mb global MERRA2,mbar/day,0.192,-0.1,0.292,11.327,9.306,5.88,0.856
OMEGA-500mb global MERRA2,mbar/day,0.013,0.05,-0.037,19.463,22.137,13.595,0.794
OMEGA-850mb global MERRA2,mbar/day,-0.003,0.212,-0.215,24.634,36.655,25.156,0.661
T-850mb global MERRA2,K,281.115,281.382,-0.267,9.873,10.109,0.829,0.997
T-200mb global MERRA2,K,217.743,218.64,-0.897,2.646,2.072,1.769,0.818
TAUXY ocean MERRA2,N/m^2,0.072,0.075,-0.003,0.055,0.053,0.016,0.959
CLDTOT_TAU1.3_ISCCP global ISCCPCOSP,%,47.697,51.964,-4.267,22.81,16.389,11.959,0.888
CLDTOT_TAU1.3_9.4_ISCCP global ISCCPCOSP,%,21.358,33.221,-11.863,8.54,9.694,14.771,0.54
CLDTOT_TAU9.4_ISCCP global ISCCPCOSP,%,26.339,18.743,7.597,16.123,10.097,12.284,0.825
CLDTOT_TAU1.3_MISR global MISRCOSP,%,47.691,54.162,-6.471,22.943,18.838,8.746,0.942
CLDTOT_TAU1.3_9.4_MISR global MISRCOSP,%,21.355,31.925,-10.57,8.614,7.848,10.438,0.857
CLDTOT_TAU9.4_MISR global MISRCOSP,%,26.336,22.237,4.099,16.24,12.378,9.355,0.897
CLDLOW_TAU1.3_MISR global MISRCOSP,%,26.646,32.126,-5.48,19.203,15.893,7.514,0.936
CLDLOW_TAU1.3_9.4_MISR global MISRCOSP,%,13.027,20.985,-7.958,9.075,8.441,7.36,0.905
CLDLOW_TAU9.4_MISR global MISRCOSP,%,13.619,11.141,2.478,11.294,8.388,7.058,0.862
CLDTOT_TAU1.3_MODIS global MODISCOSP,%,46.343,48.129,-1.786,22.429,19.63,9.52,0.91
CLDTOT_TAU1.3_9.4_MODIS global MODISCOSP,%,20.339,24.606,-4.267,8.303,8.203,7.926,0.673
CLDTOT_TAU9.4_MODIS global MODISCOSP,%,26.004,23.523,2.481,15.968,13.484,7.493,0.898
CLDHGH_TAU1.3_MODIS global MODISCOSP,%,14.532,20.958,-6.426,8.282,11.038,8.053,0.913
CLDHGH_TAU1.3_9.4_MODIS global MODISCOSP,%,6.241,10.366,-4.126,3.455,5.961,5.543,0.82
CLDHGH_TAU9.4_MODIS global MODISCOSP,%,8.291,10.591,-2.3,5.429,6.192,3.84,0.868
CLDTOT_CAL global CALIPSOCOSP,%,59.341,67.251,-7.91,20.572,14.647,12.932,0.882
CLDLOW_CAL global CALIPSOCOSP,%,33.118,37.948,-4.831,23.025,17.515,12.623,0.873
CLDMED_CAL global CALIPSOCOSP,%,16.632,18.088,-1.456,12.373,9.678,6.629,0.857
CLDHGH_CAL global CALIPSOCOSP,%,28.704,32.041,-3.337,12.205,13.127,6.189,0.915
TGCLDLWP_OCN global SSMI,g/m^2,60.869,95.636,-34.767,25.662,24.473,39.814,0.722
AODVIS global AOD_550,dimensionless,0.159,0.131,0.028,0.093,0.088,0.058,0.849
AODVIS global MACv2,dimensionless,0.159,999.999,999.999,0.093,999.999,999.999,999.999
TREFHT global ERA5,DegC,14.431,14.268,0.164,13.684,14.095,1.251,0.996
TREFHT land ERA5,DegC,8.722,8.93,-0.208,18.298,18.81,2.187,0.993
TREFHT global MERRA2,DegC,14.431,14.339,0.092,13.684,14.441,1.25,0.998
TREFHT land MERRA2,DegC,8.722,8.383,0.339,18.298,19.466,2.097,0.995
TREFMNAV global MERRA2,DegC,12.692,12.372,0.32,14.134,14.992,1.511,0.997
TREFMXAV global MERRA2,DegC,16.25,16.471,-0.222,13.594,14.344,1.524,0.996
TREF_range global MERRA2,K,3.558,4.101,-0.543,3.754,4.649,1.485,0.968
PminusE global GPCP_OAFLux,mm/day,0.0,-0.132,0.132,2.147,2.166,0.815,0.94
PminusE global COREv2_Flux,mm/day,0.0,-0.291,0.291,2.186,2.099,0.963,0.912
TCO global OMI-MLS,DU,31.722,31.26,0.462,3.667,4.913,4.467,0.495
