Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.043,2.69,0.352,2.095,1.934,1.172,0.849
TREFHT land_60S90N CRU,DegC,12.777,12.883,-0.106,12.12,13.1,2.15,0.988
RESTOM global ceres_ebaf_toa_v4.1,W m-2,0.323,0.927,-0.604,53.803,56.014,9.338,0.986
SWCF global ceres_ebaf_toa_v4.1,W m-2,-48.909,-45.309,-3.6,20.894,20.241,11.233,0.867
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.52,25.813,-1.292,10.454,11.0,5.469,0.878
U-850mb global ERA-Interim,m s-1,1.239,1.097,0.142,6.231,5.4,1.365,0.982
U-200mb global ERA-Interim,m s-1,16.338,15.687,0.651,11.677,12.316,2.298,0.985
Z3-500mb global ERA-Interim,hectometer,56.478,56.618,-0.141,2.701,2.575,0.232,0.999
PSL global ERA-Interim,mbar,1011.237,1011.301,-0.064,10.455,8.142,3.003,0.978
PSL global ERA5,mbar,1011.237,1011.389,-0.151,10.455,8.067,3.148,0.975
U-850mb global ERA5,m s-1,1.239,1.081,0.158,6.231,5.412,1.396,0.98
U-200mb global ERA5,m s-1,16.338,15.654,0.684,11.677,12.247,2.267,0.985
Z3-500mb global ERA5,hectometer,56.478,56.608,-0.13,2.701,2.566,0.229,0.999
TREFHT land ERA-Interim,DegC,8.5,8.858,-0.358,18.02,18.678,1.953,0.995
TREFHT global ERA-Interim,DegC,14.273,14.411,-0.138,13.607,14.115,1.575,0.994
TREFHT land ERA5,DegC,8.5,8.905,-0.405,18.02,18.833,2.248,0.994
TREFHT global ERA5,DegC,14.273,14.267,0.006,13.607,14.112,1.625,0.994
