Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.2,mm/day,3.083,2.677,0.406,2.605,2.326,1.267,0.887
PRECT global GPCP_v2.3,mm/day,3.083,2.699,0.384,2.605,2.369,1.207,0.898
TREFHT land_60S90N CRU,DegC,6.513,5.46,1.053,17.824,20.005,3.75,0.989
SWCF global ceres_ebaf_toa_v4.0,W m-2,-52.522,-49.667,-2.855,37.519,37.369,11.769,0.954
LWCF global ceres_ebaf_toa_v4.0,W m-2,24.027,27.883,-3.855,13.59,16.045,7.941,0.903
SOLIN global ceres_ebaf_toa_v4.1,W m-2,350.528,350.5,0.028,147.311,146.707,0.974,1.0
ALBEDO global ceres_ebaf_toa_v4.1,dimensionless,0.339,0.349,-0.01,0.139,0.416,0.385,0.378
ALBEDOC global ceres_ebaf_toa_v4.1,dimensionless,0.189,0.212,-0.024,0.143,0.279,0.214,0.667
RESTOM global ceres_ebaf_toa_v4.1,W m-2,7.292,7.946,-0.654,97.411,95.935,10.992,0.994
FLUT global ceres_ebaf_toa_v4.1,W m-2,237.371,237.474,-0.103,33.249,32.743,6.93,0.978
FLUTC global ceres_ebaf_toa_v4.1,W m-2,261.398,263.309,-1.911,31.862,32.648,4.256,0.993
FSNTOA global ceres_ebaf_toa_v4.1,W m-2,244.663,245.42,-0.757,119.434,117.178,12.9,0.994
FSNTOAC global ceres_ebaf_toa_v4.1,W m-2,297.185,294.647,2.538,139.455,138.14,8.76,0.998
SWCF global ceres_ebaf_toa_v4.1,W m-2,-52.522,-49.227,-3.295,37.519,36.987,11.78,0.954
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.027,25.835,-1.807,13.59,14.322,5.944,0.919
ALBEDO_SRF global ceres_ebaf_surface_v4.1,dimensionless,0.165,0.162,0.003,0.205,0.206,0.054,0.966
FLDS global ceres_ebaf_surface_v4.1,W m-2,340.084,336.6,3.483,69.488,76.368,13.547,0.988
FLDSC global ceres_ebaf_surface_v4.1,W m-2,310.452,308.658,1.794,81.848,84.859,7.738,0.997
FLNS global ceres_ebaf_surface_v4.1,W m-2,51.371,53.34,-1.969,20.778,18.158,10.242,0.875
FSDS global ceres_ebaf_surface_v4.1,W m-2,190.521,192.761,-2.24,93.679,90.928,15.119,0.987
FSDSC global ceres_ebaf_surface_v4.1,W m-2,253.378,251.584,1.794,111.447,110.286,5.726,0.999
FSNS global ceres_ebaf_surface_v4.1,W m-2,166.073,167.555,-1.482,89.34,86.391,14.096,0.988
LHFLX global OAFlux,W m-2,89.362,92.617,-3.256,66.171,45.307,30.898,0.946
SHFLX global OAFlux,W m-2,17.664,11.992,5.673,23.866,18.938,10.11,0.877
LHFLX global ERA5,W m-2,89.362,82.06,7.302,66.171,59.044,18.197,0.971
SHFLX global ERA5,W m-2,17.664,15.44,2.225,23.866,23.466,9.853,0.918
PSL global ERA5,mbar,1011.448,1011.539,-0.092,10.215,8.595,2.524,0.979
FSNS global ERA5,W m-2,166.073,168.879,-2.807,89.34,85.609,16.966,0.983
FLNS global ERA5,W m-2,51.371,57.018,-5.647,20.778,18.71,11.23,0.884
NET_FLUX_SRF global ERA5,W m-2,7.675,14.362,-6.687,96.001,89.967,24.26,0.971
PRECT global ERA5,mm/day,3.082,2.896,0.187,2.617,2.685,1.163,0.907
TMQ global ERA5,kg/m2,23.833,23.139,0.694,14.927,15.552,2.204,0.991
U-850mb global ERA5,m s-1,0.929,1.046,-0.117,6.787,5.828,1.605,0.978
U-200mb global ERA5,m s-1,16.455,16.976,-0.521,14.457,14.671,2.862,0.981
Z3-500mb global ERA5,hectometer,56.34,56.387,-0.047,2.748,2.687,0.174,0.998
OMEGA-200mb global ERA5,mbar/day,0.157,0.001,0.156,14.676,15.604,11.666,0.705
OMEGA-500mb global ERA5,mbar/day,-0.302,0.038,-0.34,27.435,37.155,29.532,0.619
OMEGA-850mb global ERA5,mbar/day,0.443,4.275,-3.832,35.312,69.33,60.493,0.418
T-850mb global ERA5,K,279.555,279.829,-0.274,11.442,12.09,1.286,0.996
T-200mb global ERA5,K,218.943,218.982,-0.039,2.861,3.038,2.851,0.534
TAUXY ocean ERA5,N/m^2,0.083,0.072,0.011,0.05,0.049,0.028,0.863
LHFLX global MERRA2,W m-2,89.362,83.76,5.602,66.171,60.602,18.141,0.967
SHFLX global MERRA2,W m-2,17.664,17.319,0.345,23.866,25.552,11.553,0.893
PSL global MERRA2,mbar,1011.448,1011.062,0.386,10.215,8.621,2.661,0.975
