Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.046,2.699,0.347,2.772,2.369,1.432,0.865
TREFHT land_60S90N CRU,DegC,5.566,5.46,0.107,18.176,20.005,3.708,0.986
RESTOM global ceres_ebaf_toa_v4.1,W m-2,7.915,7.946,-0.031,97.538,95.935,12.676,0.992
SWCF global ceres_ebaf_toa_v4.1,W m-2,-51.658,-49.227,-2.431,36.867,36.987,13.055,0.94
LWCF global ceres_ebaf_toa_v4.1,W m-2,23.886,25.835,-1.948,14.216,14.322,6.679,0.9
U-850mb global ERA-Interim,m s-1,1.118,1.068,0.049,6.745,5.798,1.546,0.98
U-200mb global ERA-Interim,m s-1,16.841,16.981,-0.141,15.055,14.764,3.021,0.98
Z3-500mb global ERA-Interim,hectometer,56.25,56.403,-0.153,2.771,2.696,0.25,0.998
PSL global ERA-Interim,mbar,1011.422,1011.442,-0.021,10.61,8.712,2.622,0.982
PSL global ERA5,mbar,1011.422,1011.539,-0.118,10.61,8.595,2.805,0.979
U-850mb global ERA5,m s-1,1.118,1.046,0.072,6.745,5.828,1.556,0.979
U-200mb global ERA5,m s-1,16.841,16.976,-0.135,15.055,14.671,2.962,0.981
Z3-500mb global ERA5,hectometer,56.25,56.387,-0.137,2.771,2.687,0.242,0.998
TREFHT land ERA-Interim,DegC,3.485,3.18,0.304,18.709,20.08,3.048,0.99
TREFHT global ERA-Interim,DegC,12.716,12.671,0.045,15.089,15.886,2.093,0.992
TREFHT land ERA5,DegC,3.485,3.176,0.309,18.709,20.478,3.478,0.988
TREFHT global ERA5,DegC,12.716,12.492,0.225,15.089,15.943,2.252,0.991
