Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.2,mm/day,3.137,2.707,0.43,2.707,2.489,1.364,0.879
PRECT global GPCP_v2.3,mm/day,3.137,2.715,0.422,2.707,2.517,1.352,0.882
TREFHT land_60S90N CRU,DegC,19.999,19.563,0.436,8.029,8.254,1.845,0.976
SWCF global ceres_ebaf_toa_v4.0,W m-2,-49.447,-43.931,-5.516,32.653,30.602,16.812,0.876
LWCF global ceres_ebaf_toa_v4.0,W m-2,24.868,27.833,-2.965,14.662,15.55,7.017,0.913
SOLIN global ceres_ebaf_toa_v4.1,W m-2,330.401,330.394,0.007,139.612,139.049,0.923,1.0
ALBEDO global ceres_ebaf_toa_v4.1,dimensionless,0.33,216.391,-216.061,0.128,40113.522,24565.121,0.006
ALBEDOC global ceres_ebaf_toa_v4.1,dimensionless,0.176,2.245,-2.069,0.117,378.065,231.522,0.012
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-8.609,-7.507,-1.102,87.544,86.711,11.934,0.991
FLUT global ceres_ebaf_toa_v4.1,W m-2,241.67,243.917,-2.247,35.75,35.456,7.422,0.98
FLUTC global ceres_ebaf_toa_v4.1,W m-2,266.538,269.581,-3.044,31.589,31.848,4.363,0.995
FSNTOA global ceres_ebaf_toa_v4.1,W m-2,233.061,236.41,-3.349,109.474,107.852,14.769,0.991
FSNTOAC global ceres_ebaf_toa_v4.1,W m-2,282.508,279.641,2.867,123.823,122.062,8.905,0.998
SWCF global ceres_ebaf_toa_v4.1,W m-2,-49.447,-43.231,-6.216,32.653,29.958,16.942,0.877
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.868,25.664,-0.797,14.662,14.323,5.978,0.917
ALBEDO_SRF global ceres_ebaf_surface_v4.1,dimensionless,0.138,0.138,0.0,0.169,0.179,0.035,0.982
FLDS global ceres_ebaf_surface_v4.1,W m-2,354.724,354.672,0.052,62.86,64.893,11.821,0.983
FLDSC global ceres_ebaf_surface_v4.1,W m-2,327.521,327.784,-0.263,73.913,75.108,7.259,0.995
FLNS global ceres_ebaf_surface_v4.1,W m-2,52.73,52.976,-0.246,23.612,21.759,12.392,0.854
FSDS global ceres_ebaf_surface_v4.1,W m-2,173.788,178.531,-4.742,87.433,85.248,21.74,0.97
FSDSC global ceres_ebaf_surface_v4.1,W m-2,232.342,229.758,2.584,100.289,97.669,7.865,0.998
FSNS global ceres_ebaf_surface_v4.1,W m-2,154.805,158.674,-3.868,78.964,76.909,17.194,0.977
LHFLX global OAFlux,W m-2,91.076,89.015,2.06,59.348,44.76,30.093,0.935
SHFLX global OAFlux,W m-2,20.268,8.916,11.352,21.815,9.392,10.29,0.639
LHFLX global ERA5,W m-2,91.076,85.96,5.115,59.348,53.392,17.778,0.96
SHFLX global ERA5,W m-2,20.268,17.614,2.654,21.815,20.744,10.725,0.882
PSL global ERA5,mbar,1011.153,1011.256,-0.103,11.168,8.477,3.637,0.968
FSNS global ERA5,W m-2,154.805,156.922,-2.117,78.964,76.532,15.436,0.981
FLNS global ERA5,W m-2,52.73,57.468,-4.738,23.612,22.18,11.391,0.9
NET_FLUX_SRF global ERA5,W m-2,-9.268,-4.12,-5.148,78.806,74.885,21.178,0.966
PRECT global ERA5,mm/day,3.136,2.996,0.14,2.735,2.91,1.429,0.875
TMQ global ERA5,kg/m2,26.676,25.775,0.9,14.799,15.088,2.531,0.988
U-850mb global ERA5,m s-1,1.308,1.146,0.161,7.072,5.842,1.9,0.974
U-200mb global ERA5,m s-1,13.506,12.915,0.591,16.509,15.99,2.893,0.985
Z3-500mb global ERA5,hectometer,56.855,56.885,-0.03,2.85,2.605,0.291,0.998
OMEGA-200mb global ERA5,mbar/day,0.17,0.006,0.164,14.294,14.465,10.424,0.737
OMEGA-500mb global ERA5,mbar/day,-0.322,0.013,-0.335,26.595,35.51,26.964,0.657
OMEGA-850mb global ERA5,mbar/day,0.382,3.696,-3.315,38.69,71.871,60.096,0.458
T-850mb global ERA5,K,282.611,282.651,-0.04,10.116,11.408,1.173,0.995
T-200mb global ERA5,K,217.473,218.476,-1.003,5.14,5.006,1.431,0.98
TAUXY ocean ERA5,N/m^2,0.091,0.077,0.014,0.065,0.058,0.033,0.889
LHFLX global MERRA2,W m-2,91.076,87.692,3.384,59.348,56.035,19.059,0.949
SHFLX global MERRA2,W m-2,20.268,20.498,-0.23,21.815,26.084,12.627,0.876
PSL global MERRA2,mbar,1011.153,1010.716,0.436,11.168,8.918,3.511,0.965
FSNS global MERRA2,W m-2,154.805,159.992,-5.186,78.964,79.932,22.544,0.962
FLNS global MERRA2,W m-2,52.73,62.119,-9.389,23.612,22.074,13.415,0.914
NET_FLUX_SRF global MERRA2,W m-2,-9.268,-10.317,1.049,78.806,75.535,23.984,0.953
PRECT global MERRA2,mm/day,3.136,3.067,0.069,2.735,3.273,1.902,0.814
TMQ global MERRA2,kg/m2,26.676,26.551,0.125,14.799,15.535,2.302,0.99
U-850mb global MERRA2,m s-1,1.308,1.032,0.276,7.072,6.164,1.781,0.975
U-200mb global MERRA2,m s-1,13.506,13.413,0.093,16.509,15.673,2.875,0.985
Z3-500mb global MERRA2,hectometer,56.855,56.876,-0.022,2.85,2.613,0.281,0.999
OMEGA-200mb global MERRA2,mbar/day,0.17,-0.103,0.273,14.294,14.456,8.555,0.823
OMEGA-500mb global MERRA2,mbar/day,-0.322,0.017,-0.339,26.595,30.496,20.67,0.746
OMEGA-850mb global MERRA2,mbar/day,0.382,0.19,0.191,38.69,39.931,32.678,0.619
T-850mb global MERRA2,K,282.611,282.854,-0.243,10.116,10.088,1.019,0.995
T-200mb global MERRA2,K,217.473,218.559,-1.086,5.14,5.043,1.487,0.98
TAUXY ocean MERRA2,N/m^2,0.091,0.086,0.005,0.065,0.062,0.022,0.941
TREFHT global ERA5,DegC,16.085,16.007,0.078,14.446,14.176,1.414,0.995
TREFHT land ERA5,DegC,14.048,14.385,-0.337,20.485,20.048,2.335,0.994
TREFHT global MERRA2,DegC,16.085,16.059,0.026,14.446,14.685,1.291,0.996
TREFHT land MERRA2,DegC,14.048,13.952,0.096,20.485,21.215,2.027,0.996
PminusE global GPCP_OAFLux,mm/day,-0.01,-0.177,0.166,2.924,2.885,1.278,0.915
PminusE global COREv2_Flux,mm/day,-0.01,-0.293,0.282,2.955,2.824,1.478,0.883
