Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.002,2.715,0.287,2.698,2.517,1.378,0.869
TREFHT land_60S90N CRU,DegC,18.932,19.582,-0.65,8.334,8.238,1.962,0.975
RESTOM global ceres_ebaf_toa_v4.1,W/m2,-8.777,-7.507,-1.27,86.361,86.711,12.809,0.989
SWCF global ceres_ebaf_toa_v4.1,W/m2,-47.105,-43.231,-3.874,33.606,29.958,16.143,0.885
LWCF global ceres_ebaf_toa_v4.1,W/m2,24.723,25.664,-0.941,14.863,14.323,7.718,0.863
U-850mb global ERA-Interim,m/s,1.36,1.139,0.221,6.32,5.817,1.594,0.969
U-200mb global ERA-Interim,m/s,15.089,12.972,2.117,14.952,16.055,4.187,0.975
Z3-500mb global ERA-Interim,hectometer,56.755,56.891,-0.136,2.669,2.614,0.27,0.996
PSL global ERA-Interim,mbar,1011.17,1011.175,-0.004,9.72,8.534,2.56,0.969
PSL global ERA5,mbar,1011.17,1011.256,-0.085,9.72,8.477,2.64,0.967
U-850mb global ERA5,m/s,1.36,1.146,0.214,6.32,5.842,1.615,0.968
U-200mb global ERA5,m/s,15.089,12.915,2.174,14.952,15.99,4.262,0.974
Z3-500mb global ERA5,hectometer,56.755,56.885,-0.13,2.669,2.605,0.267,0.996
TREFHT land ERA-Interim,DegC,13.056,14.242,-1.186,20.317,20.365,2.36,0.996
TREFHT global ERA-Interim,DegC,15.537,16.115,-0.578,14.159,14.298,1.902,0.992
TREFHT land ERA5,DegC,13.056,14.375,-1.319,20.317,20.02,2.762,0.993
TREFHT global ERA5,DegC,15.537,16.007,-0.47,14.159,14.176,1.994,0.991
