Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.2,mm/day,2.984,2.648,0.336,2.092,2.04,1.102,0.871
PRECT global GPCP_v2.3,mm/day,2.984,2.664,0.321,2.092,2.066,0.934,0.911
TREFHT land_60S90N CRU,DegC,12.784,999.999,999.999,12.715,999.999,999.999,999.999
SST global HadISST,degC,19.924,999.999,999.999,8.985,999.999,999.999,999.999
SST global HadISST_CL,degC,19.924,19.218,0.706,8.985,9.565,0.224,1.0
SST global HadISST_PI,degC,19.924,19.347,0.577,8.985,9.084,0.563,0.999
SST global HadISST_PD,degC,19.924,19.356,0.568,8.985,9.542,0.222,1.0
SWCF global ceres_ebaf_toa_v4.0,W/m2,-45.074,-42.909,-2.166,23.857,22.69,11.659,0.88
LWCF global ceres_ebaf_toa_v4.0,W/m2,24.624,28.396,-3.772,11.171,13.079,7.735,0.856
SOLIN global ceres_ebaf_toa_v4.1,W/m2,338.283,338.181,0.101,100.528,101.37,2.022,1.0
ALBEDO global ceres_ebaf_toa_v4.1,dimensionless,0.322,0.319,0.002,0.136,0.134,0.032,0.972
ALBEDOC global ceres_ebaf_toa_v4.1,dimensionless,0.179,0.185,-0.006,0.129,0.139,0.03,0.979
RESTOM global ceres_ebaf_toa_v4.1,W/m2,1.943,1.447,0.496,71.217,72.038,8.744,0.993
FLUT global ceres_ebaf_toa_v4.1,W/m2,238.205,239.311,-1.106,32.295,30.957,6.989,0.977
FLUTC global ceres_ebaf_toa_v4.1,W/m2,262.828,265.385,-2.557,31.035,31.357,4.392,0.994
FSNTOA global ceres_ebaf_toa_v4.1,W/m2,240.035,240.758,-0.724,96.047,94.641,10.897,0.994
FSNTOAC global ceres_ebaf_toa_v4.1,W/m2,285.109,283.237,1.872,99.197,100.049,8.967,0.996
SWCF global ceres_ebaf_toa_v4.1,W/m2,-45.074,-42.479,-2.595,23.857,22.041,11.442,0.885
LWCF global ceres_ebaf_toa_v4.1,W/m2,24.624,26.074,-1.451,11.171,11.668,5.762,0.882
NETCF global ceres_ebaf_toa_v4.1,W/m2,-20.451,-16.405,-4.046,17.91,16.883,10.053,0.862
ALBEDO_SRF global ceres_ebaf_surface_v4.1,dimensionless,0.148,0.15,-0.003,0.182,0.197,0.04,0.981
SWCFSRF global ceres_ebaf_surface_v4.1,W/m2,-48.073,-45.118,-2.955,26.155,23.476,12.726,0.881
LWCFSRF global ceres_ebaf_surface_v4.1,W/m2,26.136,26.906,-0.769,19.637,14.779,8.769,0.909
NETCF_SRF global ceres_ebaf_surface_v4.1,W/m2,-21.936,-18.212,-3.724,25.41,24.353,11.365,0.908
FLDS global ceres_ebaf_surface_v4.1,W/m2,343.855,344.544,-0.689,64.348,69.454,11.957,0.987
FLDSC global ceres_ebaf_surface_v4.1,W/m2,317.067,317.399,-0.332,78.013,79.638,7.4,0.996
FLNS global ceres_ebaf_surface_v4.1,W/m2,54.888,54.307,0.581,20.279,18.906,10.098,0.87
FLNSC global ceres_ebaf_surface_v4.1,W/m2,81.025,81.213,-0.188,15.851,18.844,6.975,0.934
FSDS global ceres_ebaf_surface_v4.1,W/m2,186.682,188.039,-1.357,76.203,71.25,16.365,0.978
FSDSC global ceres_ebaf_surface_v4.1,W/m2,241.68,239.269,2.411,72.919,70.784,6.389,0.997
FSNS global ceres_ebaf_surface_v4.1,W/m2,163.551,163.619,-0.069,75.058,71.726,12.497,0.987
FSNSC global ceres_ebaf_surface_v4.1,W/m2,211.624,208.737,2.886,77.113,76.734,10.369,0.992
LHFLX global OAFlux,W/m2,86.848,90.824,-3.977,52.579,41.275,22.097,0.949
SHFLX global OAFlux,W/m2,20.395,9.391,11.004,18.593,7.754,10.229,0.496
LHFLX global ERA5,W/m2,86.848,82.515,4.332,52.579,50.413,12.306,0.976
SHFLX global ERA5,W/m2,20.395,17.607,2.788,18.593,19.146,8.26,0.916
PSL global ERA5,mbar,1011.444,1011.413,0.03,9.924,7.983,2.852,0.972
FSNS global ERA5,W/m2,163.551,163.363,0.188,75.058,70.728,13.92,0.984
