Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.929,2.664,0.265,2.277,2.066,1.306,0.831
RESTOM global ceres_ebaf_toa_v4.1,W/m2,0.262,1.447,-1.185,70.555,72.038,10.287,0.99
SWCF global ceres_ebaf_toa_v4.1,W/m2,-45.001,-42.479,-2.521,25.056,22.041,14.051,0.835
LWCF global ceres_ebaf_toa_v4.1,W/m2,24.451,26.074,-1.624,12.085,11.668,7.744,0.797
U-850mb global ERA-Interim,m/s,1.124,1.009,0.115,6.215,5.419,1.598,0.971
U-200mb global ERA-Interim,m/s,17.622,17.09,0.532,12.381,12.064,4.318,0.939
Z3-500mb global ERA-Interim,hectometer,56.385,56.582,-0.197,2.709,2.612,0.339,0.995
PSL global ERA-Interim,mbar,1011.409,1011.337,0.072,9.866,8.029,2.66,0.977
PSL global ERA5,mbar,1011.409,1011.414,-0.005,9.866,7.991,2.771,0.974
U-850mb global ERA5,m/s,1.124,0.98,0.144,6.215,5.447,1.592,0.97
U-200mb global ERA5,m/s,17.622,17.059,0.562,12.381,11.997,4.308,0.939
Z3-500mb global ERA5,hectometer,56.385,56.572,-0.188,2.709,2.604,0.334,0.995
TREFHT land ERA-Interim,DegC,6.502,8.533,-2.031,19.989,20.25,3.361,0.993
TREFHT global ERA-Interim,DegC,13.477,14.366,-0.889,15.023,15.024,2.423,0.989
TREFHT land ERA5,DegC,6.502,8.713,-2.211,19.989,20.159,3.492,0.991
TREFHT global ERA5,DegC,13.477,14.242,-0.764,15.023,14.915,2.429,0.988
