Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.2,mm/day,2.977,2.665,0.312,2.425,2.161,1.162,0.887
PRECT global GPCP_v2.3,mm/day,2.977,2.685,0.293,2.425,2.214,1.057,0.908
TREFHT land_60S90N CRU,DegC,14.221,999.999,999.999,11.414,999.999,999.999,999.999
SST global HadISST,degC,19.991,999.999,999.999,8.522,999.999,999.999,999.999
SST global HadISST_CL,degC,19.991,19.201,0.79,8.522,9.235,0.206,1.0
SST global HadISST_PI,degC,19.991,19.578,0.413,8.522,8.499,0.566,0.999
SST global HadISST_PD,degC,19.991,19.284,0.707,8.522,9.282,0.227,1.0
SWCF global ceres_ebaf_toa_v4.0,W/m2,-47.406,-46.811,-0.595,27.627,26.11,10.283,0.929
LWCF global ceres_ebaf_toa_v4.0,W/m2,23.323,27.851,-4.528,12.386,13.515,7.542,0.895
SOLIN global ceres_ebaf_toa_v4.1,W/m2,342.197,342.235,-0.038,100.091,100.833,1.815,1.0
ALBEDO global ceres_ebaf_toa_v4.1,dimensionless,0.319,0.318,0.001,0.127,0.13,0.032,0.969
ALBEDOC global ceres_ebaf_toa_v4.1,dimensionless,0.173,0.177,-0.003,0.122,0.129,0.022,0.987
RESTOM global ceres_ebaf_toa_v4.1,W/m2,1.391,1.984,-0.594,71.994,73.723,9.056,0.993
FLUT global ceres_ebaf_toa_v4.1,W/m2,241.072,240.49,0.582,32.555,31.412,5.93,0.984
FLUTC global ceres_ebaf_toa_v4.1,W/m2,264.395,266.166,-1.771,29.7,30.125,3.927,0.993
FSNTOA global ceres_ebaf_toa_v4.1,W/m2,242.347,242.475,-0.128,94.689,95.222,10.78,0.994
FSNTOAC global ceres_ebaf_toa_v4.1,W/m2,289.753,288.873,0.88,103.1,104.19,5.467,0.999
SWCF global ceres_ebaf_toa_v4.1,W/m2,-47.406,-46.398,-1.008,27.627,25.823,10.364,0.928
LWCF global ceres_ebaf_toa_v4.1,W/m2,23.323,25.676,-2.353,12.386,12.27,5.656,0.913
NETCF global ceres_ebaf_toa_v4.1,W/m2,-24.083,-20.722,-3.361,22.279,21.639,9.642,0.916
