Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.007,2.685,0.322,2.611,2.214,1.351,0.865
RESTOM global ceres_ebaf_toa_v4.1,W m-2,1.448,1.984,-0.536,71.543,73.723,10.726,0.99
SWCF global ceres_ebaf_toa_v4.1,W m-2,-49.206,-46.398,-2.808,27.141,25.823,12.861,0.889
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.426,25.676,-1.249,12.494,12.27,6.34,0.874
U-850mb global ERA-Interim,m s-1,1.327,1.173,0.154,6.51,5.602,1.516,0.979
U-200mb global ERA-Interim,m s-1,16.715,15.732,0.982,12.917,13.148,2.632,0.983
Z3-500mb global ERA-Interim,hectometer,56.496,56.594,-0.097,2.849,2.691,0.241,0.998
PSL global ERA-Interim,mbar,1011.164,1011.255,-0.091,11.515,8.892,3.355,0.979
PSL global ERA5,mbar,1011.164,1011.349,-0.185,11.515,8.787,3.525,0.976
U-850mb global ERA5,m s-1,1.327,1.152,0.175,6.51,5.583,1.58,0.977
U-200mb global ERA5,m s-1,16.715,15.697,1.018,12.917,13.064,2.655,0.982
Z3-500mb global ERA5,hectometer,56.496,56.582,-0.086,2.849,2.678,0.245,0.998
TREFHT land ERA-Interim,DegC,9.506,9.282,0.224,18.407,18.883,2.12,0.994
TREFHT global ERA-Interim,DegC,14.513,14.456,0.057,13.598,14.166,1.701,0.993
TREFHT land ERA5,DegC,9.506,9.247,0.259,18.407,19.122,2.464,0.992
TREFHT global ERA5,DegC,14.513,14.289,0.224,13.598,14.204,1.791,0.993
