Model,Net TOA,Net TOA,Net TOA,Net TOA,Net TOA,SW CRE,SW CRE,SW CRE,SW CRE,SW CRE,LW CRE,LW CRE,LW CRE,LW CRE,LW CRE,prec,prec,prec,prec,prec,tas land,tas land,tas land,tas land,tas land,SLP,SLP,SLP,SLP,SLP,u-200,u-200,u-200,u-200,u-200,u-850,u-850,u-850,u-850,u-850,Zg-500,Zg-500,Zg-500,Zg-500,Zg-500
,W m$^{-2}$,W m$^{-2}$,W m$^{-2}$,W m$^{-2}$,W m$^{-2}$,W m$^{-2}$,W m$^{-2}$,W m$^{-2}$,W m$^{-2}$,W m$^{-2}$,W m$^{-2}$,W m$^{-2}$,W m$^{-2}$,W m$^{-2}$,W m$^{-2}$,mm day$^{-1}$,mm day$^{-1}$,mm day$^{-1}$,mm day$^{-1}$,mm day$^{-1}$,K,K,K,K,K,hPa,hPa,hPa,hPa,hPa,m s$^{-1}$,m s$^{-1}$,m s$^{-1}$,m s$^{-1}$,m s$^{-1}$,m s$^{-1}$,m s$^{-1}$,m s$^{-1}$,m s$^{-1}$,m s$^{-1}$,hm,hm,hm,hm,hm
,ANN,DJF,MAM,JJA,SON,ANN,DJF,MAM,JJA,SON,ANN,DJF,MAM,JJA,SON,ANN,DJF,MAM,JJA,SON,ANN,DJF,MAM,JJA,SON,ANN,DJF,MAM,JJA,SON,ANN,DJF,MAM,JJA,SON,ANN,DJF,MAM,JJA,SON,ANN,DJF,MAM,JJA,SON
ACCESS-CM2,7.685,10.163,9.025,10.655,8.789,9.159,12.698,10.379,13.163,10.765,7.038,8.744,8.229,8.381,7.597,1.261,1.414,1.379,1.839,1.416,2.053,2.656,2.691,2.683,2.207,2.102,2.251,2.38,2.748,2.102,2.277,2.916,2.509,4.289,2.776,1.032,1.37,1.127,1.572,1.203,0.108,0.149,0.133,0.191,0.123
ACCESS-ESM1-5,11.241,15.521,12.468,14.083,13.006,11.304,16.473,11.754,15.719,14.179,4.853,6.992,6.353,7.248,5.715,1.224,1.519,1.333,1.891,1.449,2.374,2.704,2.669,2.747,2.544,2.248,2.643,2.614,2.823,2.293,2.65,4.018,3.397,4.046,3.087,1.245,1.805,1.404,1.705,1.445,0.197,0.232,0.234,0.264,0.21
BCC-CSM2-MR,10.047,11.928,12.393,15.301,11.395,11.684,13.952,13.231,18.326,12.689,4.802,5.93,5.697,6.8,5.848,1.097,1.259,1.231,1.815,1.274,2.018,2.595,2.452,2.537,2.169,2.673,2.291,2.794,3.062,3.266,2.396,2.785,2.301,3.881,2.951,1.344,1.591,1.673,1.77,1.581,0.165,0.161,0.198,0.24,0.207
CAMS-CSM1-0,--,--,--,--,--,11.349,15.178,12.447,16.854,14.947,5.449,7.359,6.311,7.649,7.039,1.288,1.519,1.414,2.257,1.479,2.595,5.224,2.423,2.469,3.014,1.533,2.356,1.535,2.16,1.752,4.483,5.148,4.146,6.16,4.884,1.169,1.504,1.306,1.786,1.374,0.262,0.41,0.255,0.295,0.263
CAS-ESM2-0,--,--,--,--,--,17.261,20.826,18.345,23.14,20.127,10.505,12.258,11.179,13.163,12.024,1.307,1.467,1.393,1.861,1.484,1.986,5.12,2.094,3.072,2.512,1.947,3.539,1.902,2.239,2.323,2.875,4.61,3.171,4.141,3.241,1.388,2.24,1.436,1.854,1.574,0.229,0.482,0.224,0.256,0.182
CESM2-FV2,8.546,12.951,10.245,13.624,10.143,11.247,15.852,12.176,17.756,13.78,5.77,7.364,6.634,7.206,7.094,0.931,1.269,1.099,1.449,1.177,2.57,2.958,2.892,3.159,2.876,2.244,2.632,2.475,2.602,2.417,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CESM2-WACCM-FV2,8.562,12.953,10.05,13.7,10.211,11.342,15.952,12.092,17.88,13.947,5.404,7.019,6.277,7.012,6.822,0.909,1.212,1.095,1.421,1.148,2.511,2.684,2.88,3.063,2.835,2.092,2.34,2.178,2.361,2.491,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CESM2-WACCM,8.157,11.629,9.844,12.288,9.329,10.14,13.794,11.067,15.124,12.68,5.23,7.028,6.168,7.091,6.753,0.909,1.141,1.041,1.437,1.179,1.752,1.977,2.045,2.368,2.105,2.176,2.262,2.158,2.538,2.555,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CESM2,7.917,11.519,9.589,11.921,9.084,9.788,13.46,10.907,14.321,12.513,5.31,7.164,6.119,6.928,6.806,--,--,--,--,--,1.726,1.991,1.936,2.367,2.079,2.233,2.323,2.19,2.659,2.555,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CIESM,11.205,15.306,10.834,15.676,11.813,12.265,16.551,12.103,15.797,14.806,6.424,7.987,6.76,7.515,7.328,--,--,--,--,--,2.004,2.48,2.267,2.836,2.16,1.8,2.199,1.651,2.101,2.183,2.247,3.155,2.464,3.415,2.751,1.045,1.398,0.998,1.665,1.257,0.352,0.326,0.321,0.447,0.375
CMCC-CM2-HR4,--,--,--,--,--,14.307,17.939,15.069,20.132,16.8,5.739,7.752,6.433,8.615,6.449,1.068,1.419,1.193,1.707,1.27,2.152,3.388,2.469,2.637,2.065,2.571,3.303,3.095,2.58,2.521,2.076,3.55,2.484,3.424,2.566,1.507,2.137,1.712,1.956,1.622,0.215,0.296,0.225,0.28,0.237
CMCC-CM2-SR5,--,--,--,--,--,10.457,13.675,11.695,13.656,13.026,6.274,7.876,6.843,7.735,7.012,1.101,1.377,1.26,1.582,1.212,1.887,3.285,2.486,2.947,2.032,2.044,2.526,2.006,2.152,2.297,2.124,2.994,2.478,2.465,2.523,1.158,1.471,1.271,1.446,1.29,0.199,0.2,0.197,0.264,0.237
CanESM5,9.021,10.564,10.929,12.921,10.896,9.981,12.456,11.809,14.325,12.738,5.692,7.495,6.981,8.239,7.023,1.148,1.456,1.38,1.598,1.448,2.726,3.271,3.176,2.959,2.827,1.981,2.403,2.701,2.879,2.11,2.586,3.266,3.385,3.776,3.108,1.221,1.732,1.401,1.626,1.485,0.189,0.269,0.238,0.249,0.199
E3SM-1-0,8.009,10.992,9.381,11.934,8.958,10.253,11.78,12.049,16.942,11.565,4.695,5.944,5.577,5.978,5.851,0.946,1.207,1.044,1.352,1.082,2.094,3.385,2.447,2.335,2.461,2.964,2.524,3.053,3.637,3.181,2.027,2.862,2.523,2.893,2.159,1.42,1.605,1.605,1.9,1.503,0.207,0.174,0.24,0.291,0.229
E3SM-2-0,7.71,12.1,8.744,11.659,9.056,9.214,11.772,11.442,15.802,10.364,4.795,6.85,5.762,6.03,5.656,0.89,1.136,0.934,1.315,1.057,2.187,3.109,2.754,2.62,2.556,2.567,3.032,2.852,2.765,2.772,2.261,3.67,2.804,3.151,2.428,1.161,1.558,1.359,1.786,1.322,0.184,0.231,0.23,0.239,0.206
EC-Earth3-AerChem,11.246,15.861,13.082,13.043,11.995,10.185,14.084,11.441,12.027,12.438,4.055,5.384,5.081,5.88,4.511,0.833,1.039,0.949,1.239,0.968,1.757,2.004,2.614,1.83,1.671,0.746,1.117,0.921,1.197,0.917,1.519,2.211,1.791,2.678,1.826,0.721,0.996,0.818,1.085,0.826,0.142,0.179,0.169,0.181,0.133
EC-Earth3-CC,11.354,15.997,12.602,13.578,12.657,10.639,14.722,11.569,12.919,12.934,4.138,5.687,5.037,6.214,4.862,0.806,1.032,0.894,1.192,0.971,1.736,2.0,2.598,1.914,1.691,0.732,1.221,0.86,1.123,0.876,1.497,2.499,1.641,2.583,1.812,0.737,1.08,0.801,1.092,0.849,0.116,0.154,0.15,0.16,0.114
EC-Earth3-Veg-LR,11.8,16.145,12.811,14.006,12.899,11.808,15.514,12.39,14.454,13.965,4.189,5.699,5.114,6.449,4.933,0.799,1.023,0.874,1.23,0.941,1.9,2.215,2.71,2.067,1.88,0.852,1.119,0.994,1.555,1.142,1.783,2.399,1.827,3.254,2.102,0.812,1.092,0.849,1.3,0.964,0.146,0.167,0.175,0.209,0.154
EC-Earth3-Veg,11.3,15.851,12.508,13.613,12.581,10.613,14.626,11.659,12.778,12.876,4.139,5.459,5.258,6.131,4.827,0.805,1.027,0.911,1.183,0.944,1.719,1.985,2.491,1.882,1.679,0.713,1.112,0.901,1.141,0.882,1.518,2.254,1.738,2.567,1.754,0.708,0.968,0.814,1.075,0.808,0.118,0.149,0.149,0.16,0.116
EC-Earth3,11.337,15.952,12.472,13.694,12.614,10.604,14.681,11.5,12.792,12.873,4.082,5.522,5.0,6.218,4.81,0.797,1.02,0.885,1.202,0.945,1.728,2.001,2.545,1.911,1.668,0.737,1.17,0.863,1.313,0.974,1.511,2.309,1.58,2.776,1.786,0.71,1.016,0.751,1.163,0.844,0.119,0.152,0.151,0.176,0.12
FGOALS-f3-L,--,--,--,--,--,12.689,16.765,13.619,15.671,15.364,9.169,10.384,9.132,9.921,9.947,1.392,1.547,1.326,2.154,1.652,1.954,2.454,2.429,2.752,2.349,3.013,3.385,3.107,3.095,3.386,3.517,4.163,3.26,4.414,4.379,1.43,1.778,1.453,2.23,1.861,0.261,0.292,0.29,0.286,0.281
