site,lon,lat,aaod,aae,aod,ae
Palma_de_Mallorca,2.63,39.55,0.0036,1.1081,0.1043,1.0694
Hada_El-Sham,39.73,21.80,0.0075,1.5952,0.3579,0.6746
Sevastopol,33.52,44.62,0.0082,0.9630,0.1584,1.4308
Ben_Salem,9.91,35.55,0.0065,1.4502,0.1417,0.8853
Dushanbe,68.86,38.55,0.0156,1.3125,0.2320,0.8318
LISCO,-73.34,40.95,0.0029,1.0729,0.1058,1.5725
Pretoria_CSIR-DPSS,28.28,-25.76,0.0134,1.0695,0.1568,1.4874
Solar_Village,46.40,24.91,0.0237,1.8891,0.3945,0.4931
NEON_CVALLA,-105.17,40.16,0.0055,1.0143,0.0680,1.3528
Dakar,-16.96,14.39,0.0227,2.3224,0.4450,0.3400
Santa_Monica_Colg,-118.47,34.02,0.0047,0.5954,0.0968,0.8860
St_Louis_University,-90.23,38.64,0.0065,1.1214,0.1234,1.3628
White_Sands_HELSTF,-106.34,32.63,0.0034,0.8449,0.0534,1.1949
Barcelona,2.11,41.39,0.0091,0.9972,0.1453,1.3258
Billerica,-71.27,42.53,0.0081,0.9437,0.1207,1.5316
Tunis_Carthage,10.20,36.84,0.0077,1.2423,0.1581,0.8894
Capo_Verde,-22.94,16.73,0.0153,1.7654,0.3841,0.2662
Yonsei_University,126.93,37.56,0.0179,1.3631,0.4180,1.3285
Canberra,149.11,-35.27,0.0025,1.0135,0.0490,1.1637
Zaragoza,-0.88,41.63,0.0110,1.0930,0.0985,1.1311
SEARCH-OLF,-87.38,30.55,0.0024,0.9251,0.1167,1.3778
NEON_OAES,-99.06,35.41,0.0051,0.8579,0.0870,1.2675
Pokhara,83.98,28.19,0.0373,1.1318,0.4492,1.3112
Rome_Tor_Vergata,12.65,41.84,0.0129,1.2243,0.1553,1.2969
Cabo_da_Roca,-9.50,38.78,0.0133,0.8809,0.1307,0.9419
Badajoz,-7.01,38.88,0.0087,1.7081,0.0977,1.1381
