site,lon,lat,aod,ae
Fresno,-119.77,36.78,0.1670,1.3063
Anmyon,126.33,36.54,0.4261,1.2195
Key_Biscayne,-80.16,25.73,0.1301,0.9577
Coruna,-8.42,43.36,0.1313,1.0572
Dayton,-84.11,39.78,0.1683,1.4743
XiangHe,116.96,39.75,0.8710,1.1576
Harvard_Forest,-72.19,42.53,0.1242,1.4705
Singapore,103.78,1.30,0.5417,1.3978
Ouarzazate,-6.91,30.93,0.1440,0.4386
ICIPE-Mbita,34.21,-0.43,0.2279,1.0175
Ascension_Island,-14.41,-7.98,0.1768,0.7966
NEON_OAES,-99.06,35.41,0.1107,1.2747
Itajuba,-45.45,-22.41,0.1212,1.4046
Nes_Ziona,34.79,31.92,0.2292,1.0108
Caceres,-6.34,39.48,0.1151,1.2269
Izana,-16.50,28.31,0.0551,0.9045
Kathmandu-Bode,85.39,27.68,0.3970,1.2742
Madrid,-3.72,40.45,0.0995,1.3022
Tallahassee,-84.30,30.45,0.1244,1.3320
Gwangju_GIST,126.84,35.23,0.4778,1.2711
Huancayo-IGP,-75.32,-12.04,0.0746,1.5460
SEARCH-Centreville,-87.25,32.90,0.1441,1.4783
Gobabeb,15.04,-23.56,0.1376,0.9945
Palangkaraya,113.95,-2.23,0.6406,1.3356
Tuxtla_Gutierrez,-93.15,16.75,0.2300,1.4256
CEILAP-BA,-58.51,-34.56,0.1087,1.1525
Belsk,20.79,51.84,0.2105,1.4396
Ersa,9.36,43.00,0.1375,1.2478
La_Parguera,-67.05,17.97,0.1453,0.5576
Ilorin,4.67,8.48,0.6267,0.7200
Laegeren,8.36,47.48,0.1515,1.3989
Halifax,-63.59,44.64,0.1000,1.3533
Ames,-93.77,42.02,0.1733,1.2746
Univ_of_Houston,-95.34,29.72,0.1768,1.2473
Skukuza,31.59,-24.99,0.1956,1.3185
El_Segundo,-118.38,33.91,0.1213,0.9772
Kanpur,80.23,26.51,0.6601,1.0163
Toronto,-79.47,43.79,0.1416,1.4629
Lake_Argyle,128.75,-16.11,0.1134,1.1020
Pimai,102.56,15.18,0.3520,1.3931
Camaguey,-77.85,21.42,0.1490,0.8805
NASA_LaRC,-76.38,37.10,0.1663,1.4605
Thompson_Farm,-70.95,43.11,0.1562,1.4241
Lulin,120.87,23.47,0.0739,1.2421
Sao_Martinho_SONDA,-53.82,-29.44,0.1086,1.1541
SANTA_CRUZ_UTEPSA,-63.20,-17.77,0.2158,1.4248
Ubon_Ratchathani,104.87,15.25,0.4065,1.3938
Palma_de_Mallorca,2.63,39.55,0.1349,1.0382
Thessaloniki,22.96,40.63,0.2328,1.5606
CCNY,-73.95,40.82,0.1806,1.5573
Chiayi,120.50,23.50,0.6831,1.2863
NEON_SCBI,-78.14,38.89,0.1347,1.4938
BSRN_BAO_Boulder,-105.01,40.05,0.0901,1.3361
Iasi_LOASL,27.56,47.19,0.1899,1.5838
Autilla,-4.60,42.00,0.0938,1.2061
Howland,-68.74,45.20,0.1026,1.5447
Sandia_NM_PSEL,-106.54,35.05,0.0551,1.1277
Beijing-CAMS,116.32,39.93,0.7810,1.1511
Manila_Observatory,121.08,14.64,0.2788,1.0913
CEILAP-RG,-69.32,-51.60,0.0262,0.8226
NhaTrang,109.21,12.20,0.1918,1.1662
Kelowna_UAS,-119.40,49.94,0.1045,1.4567
La_Jolla,-117.25,32.87,0.1090,1.1365
Lahore,74.26,31.48,0.7060,0.9599
CASLEO,-69.30,-31.80,0.0287,0.9658
BONDVILLE,-88.37,40.05,0.1656,1.5091
Maricopa,-111.97,33.07,0.0959,0.9400
Chen-Kung_Univ,120.20,22.99,0.5480,1.3168
Jabiru,132.89,-12.66,0.1324,1.0674
Ji_Parana_SE,-61.85,-10.93,0.2256,1.3984
Jomsom,83.71,28.78,0.0924,1.5056
Wallops,-75.47,37.93,0.2047,1.5502
Valladolid,-4.71,41.66,0.0914,1.2516
Granada,-3.60,37.16,0.1444,1.0874
Cordoba-CETT,-64.46,-31.52,0.0859,1.1372
Lampedusa,12.63,35.52,0.1593,0.8545
HohenpeissenbergDWD,11.01,47.80,0.1175,1.4817
Cart_Site,-97.49,36.61,0.1376,1.2726
Univ_of_Lethbridge,-112.87,49.68,0.0904,1.3409
Dhaka_University,90.40,23.73,0.8466,1.1945
Missoula,-114.08,46.92,0.1386,1.4383
Cabo_da_Roca,-9.50,38.78,0.1183,0.9258
Palencia,-4.52,41.99,0.0973,1.2521
CEILAP-Neuquen,-68.14,-38.95,0.0560,0.8726
Monterey,-121.85,36.59,0.1494,0.8919
Univ_of_Nevada-Reno,-119.81,39.54,0.0780,1.2819
CARTEL,-71.93,45.38,0.1352,1.4527
NAM_CO,90.96,30.77,0.0467,0.6734
Leipzig,12.44,51.35,0.1892,1.4370
UMBC,-76.71,39.25,0.1614,1.5443
Arica,-70.31,-18.47,0.2314,0.9694
USM_Penang,100.30,5.36,0.4958,1.3333
Tinga_Tingana,139.99,-28.98,0.0543,0.7707
ARM_Darwin,130.89,-12.43,0.1469,1.1923
Tabernas_PSA-DLR,-2.36,37.09,0.1278,1.0855
Montsec,0.73,42.05,0.0785,1.3875
Billerica,-71.27,42.53,0.1321,1.5034
Masdar_Institute,54.62,24.44,0.3726,0.7099
Yonsei_University,126.93,37.56,0.5191,1.3308
MCO-Hanimaadhoo,73.18,6.78,0.3228,1.0395
Zaragoza,-0.88,41.63,0.1187,1.1931
USGS_Flagstaff_ROLO,-111.63,35.21,0.0538,1.1685
Carpentras,5.06,44.08,0.1312,1.3784
UdeConcepcion-CEFOP,-73.03,-36.84,0.0809,1.3327
NEON_CVALLA,-105.17,40.16,0.0866,1.3480
Sevilleta,-106.89,34.35,0.0659,1.2753
Dunedin,170.51,-45.86,0.0480,0.7172
Bari_University,16.88,41.11,0.1893,1.3291
Hong_Kong_PolyU,114.18,22.30,0.4813,1.3488
Railroad_Valley,-115.69,38.50,0.0631,1.0933
Kanzelhohe_Obs,13.90,46.68,0.1030,1.3757
Chilbolton,-1.44,51.14,0.1727,1.0708
Osaka,135.59,34.65,0.2931,1.3456
Elandsfontein,29.42,-26.25,0.2143,1.4762
La_Laguna,-16.32,28.48,0.1434,0.6448
Pokhara,83.98,28.19,0.4755,1.2956
Issyk-Kul,76.98,42.62,0.1322,1.2549
Jaipur,75.81,26.91,0.4739,0.8148
Hada_El-Sham,39.73,21.80,0.3579,0.8040
Paris,2.36,48.85,0.1698,1.2942
REUNION_ST_DENIS,55.48,-20.90,0.0760,0.6955
Exeter_MO,-3.48,50.73,0.1416,1.0349
Goldstone,-116.79,35.23,0.0572,0.9774
SERC,-76.56,38.89,0.1984,1.5728
Egbert,-79.78,44.23,0.1298,1.5177
FZJ-JOYCE,6.41,50.91,0.1692,1.3191
Fontainebleau,2.68,48.41,0.2020,1.3998
Taihu,120.22,31.42,0.9146,1.2346
Blida,2.88,36.51,0.2239,0.9639
Dhadnah,56.32,25.51,0.4175,0.7590
Frenchman_Flat,-115.93,36.81,0.0719,1.0341
KAUST_Campus,39.10,22.30,0.3860,0.6145
Toulouse_MF,1.37,43.57,0.1227,1.2628
Murcia,-1.17,38.00,0.1412,1.2014
Gandhi_College,84.13,25.87,0.7015,1.0871
Bratts_Lake,-104.71,50.20,0.1077,1.4025
Bozeman,-111.05,45.66,0.0812,1.4356
Dushanbe,68.86,38.55,0.2375,0.8498
Munich_University,11.57,48.15,0.1698,1.4812
Calern_OCA,6.92,43.75,0.0845,1.3801
Karachi,67.14,24.95,0.4780,0.6858
Gangneung_WNU,128.87,37.77,0.3032,1.3137
La_Paz,-68.07,-16.54,0.0947,0.9451
ETNA,15.02,37.61,0.1647,1.2115
Birdsville,139.35,-25.90,0.0536,1.0586
Chiang_Mai_Met_Sta,98.97,18.77,0.4311,1.3983
Beijing_RADI,116.38,40.00,0.6862,1.1614
Lille,3.14,50.61,0.1856,1.2351
Brisbane-Uni_of_QLD,153.01,-27.50,0.0825,0.9965
IMPROVE-MammothCave,-86.15,37.13,0.1537,1.4724
Malaga,-4.48,36.72,0.1429,1.0147
Pickle_Lake,-90.22,51.45,0.0927,1.4328
CLUJ_UBB,23.55,46.77,0.2343,1.5134
Rimrock,-116.99,46.49,0.1408,1.3141
Petrolina_SONDA,-40.32,-9.07,0.0986,0.8917
Walker_Branch,-84.29,35.96,0.2214,1.7354
Pretoria_CSIR-DPSS,28.28,-25.76,0.1925,1.5076
Lake_Lefroy,121.70,-31.25,0.0603,0.8650
Pontianak,109.19,0.08,0.8031,1.2484
Cairo_EMA_2,31.29,30.08,0.3949,1.0167
Red_Mountain_Pass,-107.71,37.91,0.0415,1.2138
NEON_OSBS,-81.99,29.69,0.1347,1.2512
Santa_Monica_Colg,-118.47,34.02,0.1163,0.8928
Arcachon,-1.16,44.66,0.1254,1.1090
Mongu,23.15,-15.25,0.2361,1.5999
IMAA_Potenza,15.72,40.60,0.1433,1.3363
Ispra,8.63,45.80,0.2879,1.4937
Canberra,149.11,-35.27,0.0662,1.1376
White_Sands_HELSTF,-106.34,32.63,0.0694,1.1571
SP_Bayboro,-82.63,27.76,0.1166,1.1401
Dalanzadgad,104.42,43.58,0.1144,0.9998
Fukuoka,130.47,33.52,0.3499,1.2427
Badajoz,-7.01,38.88,0.1058,1.1351
Fresno_2,-119.77,36.79,0.1323,1.1576
Fort_McMurray,-111.48,56.75,0.1209,1.4971
Shirahama,135.36,33.69,0.2827,1.2393
NEON-Disney,-81.44,28.13,0.1223,1.0978
EPA-Res_Triangle_Pk,-78.87,35.88,0.1580,1.3833
Tunis_Carthage,10.20,36.84,0.1746,0.8903
Santa_Cruz_Tenerife,-16.25,28.47,0.1558,0.6324
Evora,-7.91,38.57,0.1077,1.1283
Dakar,-16.96,14.39,0.4349,0.3465
MD_Science_Center,-76.61,39.28,0.1725,1.6323
U_of_Wisconsin_SSEC,-89.41,43.07,0.1332,1.4093
Tamanrasset_INM,5.53,22.79,0.2621,0.3805
Silpakorn_Univ,100.04,13.82,0.3767,1.2816
Solar_Village,46.40,24.91,0.4032,0.5025
Table_Mountain,-105.24,40.12,0.0784,1.3137
Easton_Airport,-76.07,38.81,0.1711,1.5494
Oujda,-1.90,34.65,0.1357,0.8451
SEDE_BOKER,34.78,30.86,0.1938,0.9320
Jambi,103.64,-1.63,0.9278,1.3634
UPRM_Lidar_Lab,-67.14,18.21,0.1325,0.5275
SAGRES,-8.87,37.05,0.1205,0.8847
SACOL,104.14,35.95,0.3792,0.9111
Key_Biscayne2,-80.16,25.73,0.1215,0.9048
Appalachian_State,-81.69,36.21,0.1258,1.4553
Mexico_City,-99.18,19.33,0.3764,1.5277
Kellogg_LTER,-85.37,42.41,0.1522,1.5505
St_Louis_University,-90.23,38.64,0.1467,1.4000
Sevastopol,33.52,44.62,0.1876,1.4163
Moldova,28.82,47.00,0.2137,1.4846
Lecce_University,18.11,40.34,0.1846,1.2715
Burjassot,-0.42,39.51,0.1556,1.1847
NEON_Harvard,-72.17,42.54,0.0890,1.4033
Sao_Paulo,-46.73,-23.56,0.2268,1.3714
Ragged_Point,-59.43,13.17,0.1760,0.2898
Tudor_Hill,-64.88,32.26,0.1439,0.8384
Palaiseau,2.21,48.71,0.1487,1.2532
Rome_Tor_Vergata,12.65,41.84,0.1521,1.2734
Campo_Grande_SONDA,-54.54,-20.44,0.1674,1.3028
GSFC,-76.84,38.99,0.1772,1.5997
Davos,9.84,46.81,0.0938,1.3115
COVE,-75.71,36.90,0.1928,1.6168
UH_Coastal_Center,-95.04,29.39,0.1523,1.1093
Trinidad_Head,-124.15,41.05,0.0842,0.8970
Songkhla_Met_Sta,100.60,7.18,0.3981,1.0755
Gual_Pahari,77.15,28.43,0.6227,0.9228
Mukdahan,104.68,16.61,0.3939,1.3489
UCSB,-119.85,34.42,0.0990,0.8472
Baengnyeong,124.63,37.97,0.4041,1.2568
Rio_Branco,-67.87,-9.96,0.1312,1.4568
Nauru,166.92,-0.52,0.0703,0.4504
Kirtland_AFB,-106.51,34.95,0.0673,1.1069
Cape_San_Juan,-65.62,18.38,0.1547,0.4785
