#Title=vertical ice velocity from EISMINT-1 moving margin
#
#Legend=(time, y1, x1) = (200000, 750000, 750000)
#level (1)	wvel (meter/year)
0.000000	-0.500000
0.231405	-0.359870
0.407407	-0.254431
0.544379	-0.175363
0.653061	-0.117032
0.740741	-0.074919
0.812500	-0.045287
0.871972	-0.025106
0.921811	-0.011986
0.963989	-0.004084
1.000000	0.000000

#Legend=(time, y1, x1) = (200000, 750000, 1.15e+06)
#level (1)	wvel (meter/year)
0.000000	-0.810495
0.231405	-0.594029
0.407407	-0.426855
0.544379	-0.296228
0.653061	-0.196438
0.740741	-0.122981
0.812500	-0.071330
0.871972	-0.037126
0.921811	-0.016488
0.963989	-0.006149
1.000000	-0.003474

