site_code, pft_f1, pft_c1, pft_f2, pft_c2, pft_f3, pft_c3, pft_f4, pft_c4, pft_f5, pft_c5
US-ARM, 100.0,15, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Atq, 100.0,12, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Bo1, 100.0,15, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0 
US-Brw, 100.0,12, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0 
US-FPe, 100.0,12, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Ha1, 100.0, 7, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Ho1, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Ivo, 100.0,11, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Me2, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Me4, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-MMS, 100.0, 7, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-MOz, 100.0, 7, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-NR1, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Syv,  50.0, 1,50.0, 7, 0.0, 0, 0.0, 0, 0.0, 0
US-UMB, 100.0, 7, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Var, 100.0,13, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0 
US-WCr, 100.0, 7, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0 
US-Wrc, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0 
