site_code,soil_depth,n_layers,layer_depth,layer_sand%,layer_clay%
US-ARM,-999,1,-999,28.0,43.1
US-Atq,0.8,1,0.8,92.0,2.0
US-Bo1,-999,1,-999,5.0,25.0
US-Brw,-999,1,-999,50.0,25.0
US-FPe,-999,1,-999,47.0,21.0
US-Ha1,-999,1,-999,66.0,6.0
US-Ho1,0.8,1,-999,50.3,15.9
US-Ivo,-999,1,-999,50.0,25.0
US-Me2,-999,1,-999,67.0,7.0
US-Me4,-999,1,-999,44.12,20.85
US-MMS,-999,1,-999,34.0,63.0
US-MOz,-999,1,-999,55.0,5.0
US-NR1,-999,1,-999,43.13,21.43
US-Syv,-999,1,-999,46.56,16.43
US-UMB,1.21,1,1.21,92.6,0.6
US-Var,-999,1,-999,50.43,25.01
US-WCr,-999,1,-999,42.52,20.17
US-Wrc,-999,1,-999,44.83,19.85
